Memory	When	Capacity
ModuloSchedulingDual_Processor0_localMemory	0.0	0.0
ModuloSchedulingDual_Processor1_localMemory	0.0	0.0
TileLocalMemory_ModuloSchedulingDual	0.0	0.0
TileLocalMemory_ModuloSchedulingDual	11861.572265625	1000000.0
TileLocalMemory_ModuloSchedulingDual	13723.14453125	0.0
TileLocalMemory_ModuloSchedulingDual	25584.716796875	2000000.0
TileLocalMemory_ModuloSchedulingDual	27446.2890625	0.0
TileLocalMemory_ModuloSchedulingDual	39307.861328125	2000000.0
TileLocalMemory_ModuloSchedulingDual	41169.43359375	0.0
TileLocalMemory_ModuloSchedulingDual	51169.43359375	1000000.0
TileLocalMemory_ModuloSchedulingDual	53031.005859375	0.0
TileLocalMemory_ModuloSchedulingDual	64892.578125	2000000.0
TileLocalMemory_ModuloSchedulingDual	66754.150390625	0.0
TileLocalMemory_ModuloSchedulingDual	78615.72265625	2000000.0
TileLocalMemory_ModuloSchedulingDual	80477.294921875	0.0
TileLocalMemory_ModuloSchedulingDual	90477.294921875	1000000.0
TileLocalMemory_ModuloSchedulingDual	92338.8671875	0.0
TileLocalMemory_ModuloSchedulingDual	104200.439453125	2000000.0
TileLocalMemory_ModuloSchedulingDual	106062.01171875	0.0
TileLocalMemory_ModuloSchedulingDual	117923.583984375	2000000.0
TileLocalMemory_ModuloSchedulingDual	119785.15625	0.0
TileLocalMemory_ModuloSchedulingDual	129785.15625	1000000.0
TileLocalMemory_ModuloSchedulingDual	131646.728515625	0.0
TileLocalMemory_ModuloSchedulingDual	143508.30078125	2000000.0
TileLocalMemory_ModuloSchedulingDual	145369.873046875	0.0
TileLocalMemory_ModuloSchedulingDual	157231.4453125	2000000.0
TileLocalMemory_ModuloSchedulingDual	159093.017578125	0.0
TileLocalMemory_ModuloSchedulingDual	169093.017578125	1000000.0
TileLocalMemory_ModuloSchedulingDual	170954.58984375	0.0
TileLocalMemory_ModuloSchedulingDual	182816.162109375	2000000.0
TileLocalMemory_ModuloSchedulingDual	184677.734375	0.0
TileLocalMemory_ModuloSchedulingDual	196539.306640625	2000000.0
TileLocalMemory_ModuloSchedulingDual	198400.87890625	0.0
