Memory	When	Capacity
ModuloSchedulingQuad_Processor0_localMemory	0.0	0.0
ModuloSchedulingQuad_Processor1_localMemory	0.0	0.0
ModuloSchedulingQuad_Processor2_localMemory	0.0	0.0
ModuloSchedulingQuad_Processor3_localMemory	0.0	0.0
TileLocalMemory_ModuloSchedulingQuad	0.0	0.0
TileLocalMemory_ModuloSchedulingQuad	10930.7861328125	1000000.0
TileLocalMemory_ModuloSchedulingQuad	11861.572265625	0.0
TileLocalMemory_ModuloSchedulingQuad	22792.3583984375	2000000.0
TileLocalMemory_ModuloSchedulingQuad	23723.14453125	1000000.0
TileLocalMemory_ModuloSchedulingQuad	24653.9306640625	0.0
TileLocalMemory_ModuloSchedulingQuad	33723.14453125	1000000.0
TileLocalMemory_ModuloSchedulingQuad	34653.9306640625	2000000.0
TileLocalMemory_ModuloSchedulingQuad	35584.716796875	3000000.0
TileLocalMemory_ModuloSchedulingQuad	36515.5029296875	2000000.0
TileLocalMemory_ModuloSchedulingQuad	47446.2890625	4000000.0
TileLocalMemory_ModuloSchedulingQuad	48377.0751953125	2000000.0
TileLocalMemory_ModuloSchedulingQuad	59307.861328125	1000000.0
TileLocalMemory_ModuloSchedulingQuad	60238.6474609375	0.0
TileLocalMemory_ModuloSchedulingQuad	69307.861328125	1000000.0
TileLocalMemory_ModuloSchedulingQuad	70238.6474609375	2000000.0
TileLocalMemory_ModuloSchedulingQuad	71169.43359375	3000000.0
TileLocalMemory_ModuloSchedulingQuad	72100.2197265625	2000000.0
TileLocalMemory_ModuloSchedulingQuad	83031.005859375	4000000.0
TileLocalMemory_ModuloSchedulingQuad	83961.7919921875	2000000.0
TileLocalMemory_ModuloSchedulingQuad	94892.578125	1000000.0
TileLocalMemory_ModuloSchedulingQuad	95823.3642578125	0.0
TileLocalMemory_ModuloSchedulingQuad	104892.578125	1000000.0
TileLocalMemory_ModuloSchedulingQuad	105823.3642578125	2000000.0
TileLocalMemory_ModuloSchedulingQuad	106754.150390625	3000000.0
TileLocalMemory_ModuloSchedulingQuad	107684.9365234375	2000000.0
TileLocalMemory_ModuloSchedulingQuad	118615.72265625	4000000.0
TileLocalMemory_ModuloSchedulingQuad	119546.5087890625	2000000.0
TileLocalMemory_ModuloSchedulingQuad	130477.294921875	1000000.0
TileLocalMemory_ModuloSchedulingQuad	131408.0810546875	0.0
TileLocalMemory_ModuloSchedulingQuad	140477.294921875	1000000.0
TileLocalMemory_ModuloSchedulingQuad	141408.0810546875	2000000.0
TileLocalMemory_ModuloSchedulingQuad	142338.8671875	3000000.0
TileLocalMemory_ModuloSchedulingQuad	143269.6533203125	2000000.0
TileLocalMemory_ModuloSchedulingQuad	154200.439453125	4000000.0
TileLocalMemory_ModuloSchedulingQuad	155131.2255859375	2000000.0
TileLocalMemory_ModuloSchedulingQuad	166062.01171875	1000000.0
TileLocalMemory_ModuloSchedulingQuad	166992.7978515625	0.0
TileLocalMemory_ModuloSchedulingQuad	176992.7978515625	1000000.0
TileLocalMemory_ModuloSchedulingQuad	177923.583984375	2000000.0
TileLocalMemory_ModuloSchedulingQuad	178854.3701171875	0.0
