Job	Start	Finish	Resource
writing_crossbar	10000.0	10000.0	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	21861.572265625	21861.572265625	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	31861.572265625	31861.572265625	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	33723.14453125	33723.14453125	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	45584.716796875	45584.716796875	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	57446.2890625	57446.2890625	crossbar_Tile_testQuadCoreMemoryBound_0
reading_crossbar	57446.2890625	59307.861328125	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	79307.861328125	79307.861328125	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	81169.43359375	81169.43359375	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	93031.005859375	93031.005859375	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	104892.578125	104892.578125	crossbar_Tile_testQuadCoreMemoryBound_0
reading_crossbar	104892.578125	106754.150390625	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	126754.150390625	126754.150390625	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	128615.72265625	128615.72265625	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	140477.294921875	140477.294921875	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	152338.8671875	152338.8671875	crossbar_Tile_testQuadCoreMemoryBound_0
reading_crossbar	152338.8671875	154200.439453125	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	174200.439453125	174200.439453125	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	176062.01171875	176062.01171875	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	187923.583984375	187923.583984375	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	199785.15625	199785.15625	crossbar_Tile_testQuadCoreMemoryBound_0
reading_crossbar	199785.15625	201646.728515625	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	221646.728515625	221646.728515625	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	223508.30078125	223508.30078125	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	235369.873046875	235369.873046875	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	247231.4453125	247231.4453125	crossbar_Tile_testQuadCoreMemoryBound_0
reading_crossbar	247231.4453125	249093.017578125	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	269093.017578125	269093.017578125	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	270954.58984375	270954.58984375	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	282816.162109375	282816.162109375	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	294677.734375	294677.734375	crossbar_Tile_testQuadCoreMemoryBound_0
reading_crossbar	294677.734375	296539.306640625	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	316539.306640625	316539.306640625	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	318400.87890625	318400.87890625	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	330262.451171875	330262.451171875	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	342124.0234375	342124.0234375	crossbar_Tile_testQuadCoreMemoryBound_0
reading_crossbar	342124.0234375	343985.595703125	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	363985.595703125	363985.595703125	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	365847.16796875	365847.16796875	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	377708.740234375	377708.740234375	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	389570.3125	389570.3125	crossbar_Tile_testQuadCoreMemoryBound_0
reading_crossbar	389570.3125	391431.884765625	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	411431.884765625	411431.884765625	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	413293.45703125	413293.45703125	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	425155.029296875	425155.029296875	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	437016.6015625	437016.6015625	crossbar_Tile_testQuadCoreMemoryBound_0
reading_crossbar	437016.6015625	438878.173828125	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	458878.173828125	458878.173828125	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	460739.74609375	460739.74609375	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	472601.318359375	472601.318359375	crossbar_Tile_testQuadCoreMemoryBound_0
writing_crossbar	484462.890625	484462.890625	crossbar_Tile_testQuadCoreMemoryBound_0
reading_crossbar	484462.890625	486324.462890625	crossbar_Tile_testQuadCoreMemoryBound_0
reading_crossbar	10000.0	11861.572265625	crossbar_Tile_testQuadCoreMemoryBound_1
writing_crossbar	21861.572265625	21861.572265625	crossbar_Tile_testQuadCoreMemoryBound_1
reading_crossbar	21861.572265625	23723.14453125	crossbar_Tile_testQuadCoreMemoryBound_1
reading_crossbar	33723.14453125	35584.716796875	crossbar_Tile_testQuadCoreMemoryBound_1
reading_crossbar	45584.716796875	47446.2890625	crossbar_Tile_testQuadCoreMemoryBound_1
writing_crossbar	57446.2890625	57446.2890625	crossbar_Tile_testQuadCoreMemoryBound_1
reading_crossbar	57446.2890625	59307.861328125	crossbar_Tile_testQuadCoreMemoryBound_1
reading_crossbar	69307.861328125	71169.43359375	crossbar_Tile_testQuadCoreMemoryBound_1
reading_crossbar	81169.43359375	83031.005859375	crossbar_Tile_testQuadCoreMemoryBound_1
reading_crossbar	93031.005859375	94892.578125	crossbar_Tile_testQuadCoreMemoryBound_1
writing_crossbar	104892.578125	104892.578125	crossbar_Tile_testQuadCoreMemoryBound_1
reading_crossbar	104892.578125	106754.150390625	crossbar_Tile_testQuadCoreMemoryBound_1
reading_crossbar	116754.150390625	118615.72265625	crossbar_Tile_testQuadCoreMemoryBound_1
reading_crossbar	128615.72265625	130477.294921875	crossbar_Tile_testQuadCoreMemoryBound_1
reading_crossbar	140477.294921875	142338.8671875	crossbar_Tile_testQuadCoreMemoryBound_1
writing_crossbar	152338.8671875	152338.8671875	crossbar_Tile_testQuadCoreMemoryBound_1
reading_crossbar	152338.8671875	154200.439453125	crossbar_Tile_testQuadCoreMemoryBound_1
