Memory	When	Capacity
Tile_testQuadCoreMemoryBound_Processor0_localMemory	0.0	0.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	10000.0	1000000.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	11861.572265625	0.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	31861.572265625	1000000.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	47446.2890625	0.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	79307.861328125	1000000.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	94892.578125	0.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	126754.150390625	1000000.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	142338.8671875	0.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	174200.439453125	1000000.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	189785.15625	0.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	221646.728515625	1000000.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	237231.4453125	0.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	269093.017578125	1000000.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	284677.734375	0.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	316539.306640625	1000000.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	332124.0234375	0.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	363985.595703125	1000000.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	379570.3125	0.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	411431.884765625	1000000.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	427016.6015625	0.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	458878.173828125	1000000.0
Tile_testQuadCoreMemoryBound_Processor0_localMemory	474462.890625	0.0
Tile_testQuadCoreMemoryBound_Processor1_localMemory	0.0	0.0
Tile_testQuadCoreMemoryBound_Processor1_localMemory	21861.572265625	2000000.0
Tile_testQuadCoreMemoryBound_Processor1_localMemory	23723.14453125	1000000.0
Tile_testQuadCoreMemoryBound_Processor1_localMemory	35584.716796875	0.0
Tile_testQuadCoreMemoryBound_Processor1_localMemory	57446.2890625	2000000.0
Tile_testQuadCoreMemoryBound_Processor1_localMemory	71169.43359375	1000000.0
Tile_testQuadCoreMemoryBound_Processor1_localMemory	83031.005859375	0.0
Tile_testQuadCoreMemoryBound_Processor1_localMemory	104892.578125	2000000.0
Tile_testQuadCoreMemoryBound_Processor1_localMemory	118615.72265625	1000000.0
Tile_testQuadCoreMemoryBound_Processor1_localMemory	130477.294921875	0.0
